REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,405.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,228.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,552.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,201.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Humanities [3],Male gender,Canadian students,762.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Humanities [3],Male gender,International students,132.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Humanities [3],Female gender,Canadian students,936.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Humanities [3],Female gender,International students,240.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,2517.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,369.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,5121.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,816.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,1917.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,International students,960.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,2328.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,International students,870.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,852.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,306.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,1014.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,393.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,543.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,894.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,324.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,396.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,1344.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,2682.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,702.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,1068.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,165.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,108.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,294.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,159.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Health and related fields [10],Male gender,Canadian students,4371.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Health and related fields [10],Male gender,International students,477.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Health and related fields [10],Female gender,Canadian students,8919.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Health and related fields [10],Female gender,International students,513.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,12.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Male gender,International students,3.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,12.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Female gender,International students,27.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Other  [12],Male gender,Canadian students,30.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Other  [12],Male gender,International students,24.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Other  [12],Female gender,Canadian students,66.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Other  [12],Female gender,International students,18.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Unclassified,Male gender,Canadian students,15.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Unclassified,Male gender,International students,21.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Unclassified,Female gender,Canadian students,30.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Unclassified,Female gender,International students,21.0
2018/2019,Quebec,University,Full-time student,Doctoral or equivalent,Education [1],Male gender,Canadian students,198.0
2018/2019,Quebec,University,Full-time student,Doctoral or equivalent,Education [1],Male gender,International students,81.0
2018/2019,Quebec,University,Full-time student,Doctoral or equivalent,Education [1],Female gender,Canadian students,372.0
2018/2019,Quebec,University,Full-time student,Doctoral or equivalent,Education [1],Female gender,International students,99.0
